XPOS	YPOS
42848	115456
42880	115424
42880	115456
42880	115488
42912	115456
42912	115488
42912	115520
42944	115488
42944	115520
42944	115552
42976	115520
42976	115552
42976	115584
43008	115552
43008	115584
43008	115616
43040	115584
43040	115616
43040	115648
43104	115712
43136	115680
43136	115712
43136	115744
43168	115712
43168	115744
43168	115776
43200	115744
43200	115776
43200	115808
43232	115776
43232	115808
43232	115840
43264	115808
43264	115840
43264	115872
43296	115840
43296	115872
43296	115904
43392	115968
43392	116000
43424	115968
43424	116000
43424	116032
43456	116000
43456	116032
43456	116064
43488	116032
43488	116064
43488	116096
43520	116064
43520	116096
43520	116128
43552	116096
