XPOS	YPOS
50464	104640
50496	104576
50496	104608
50496	104640
50496	104672
50528	104608
50528	104640
50528	104672
50528	104704
50560	104640
50560	104672
50560	104704
50560	104736
50592	104672
50592	104704
50592	104736
50592	104768
50624	104704
50624	104736
50624	104768
50624	104800
50656	104736
50656	104768
50656	104800
50656	104832
50688	104768
50688	104800
50688	104832
50688	104864
50720	104800
50720	104832
50720	104864
50720	104896
50752	104832
50752	104864
50752	104896
50752	104928
50784	104864
50784	104896
50784	104928
50784	104960
50816	104896
50816	104928
50816	104960
50816	104992
50848	104928
50848	104960
50848	104992
50848	105024
51072	105376
51104	105344
51104	105376
51104	105408
51104	105440
51136	105376
51136	105408
51136	105440
51136	105472
51168	105408
51168	105440
51168	105472
51168	105504
51200	105440
51200	105472
51200	105504
51200	105536
51232	105472
51232	105504
51232	105536
51232	105568
51264	105536
51264	105568
51264	105600
51296	105568
51296	105600
51296	105632
51328	105600
51328	105632
51328	105664
51360	105632
51360	105664
51360	105696
51392	105664
51392	105696
51392	105728
51424	105696
51424	105728
51424	105760
51424	105792
51456	105760
51456	105792
51456	105824
51488	105792
51488	105824
