XPOS	YPOS
41600	115808
41600	115840
41600	115872
41632	115776
41632	115808
41632	115840
41632	115872
41664	115744
41664	115808
41664	115840
41664	115872
41664	115904
41696	115712
41696	115744
41696	115776
41728	115680
41728	115712
41728	115744
41760	115616
41760	115648
41760	115680
41760	115712
41792	115616
41792	115648
41792	115680
41824	115616
41824	115648
41856	115520
41856	115552
41856	115648
41888	115488
41888	115520
41888	115552
41920	115424
41920	115456
41920	115488
41920	115520
41952	115392
41952	115424
41952	115456
41952	115488
41984	115360
41984	115392
41984	115424
41984	115456
42016	115392
42016	115424
42048	115392
