XPOS	YPOS
44832	111488
45536	111072
45280	111136
45408	111328
45120	111360
45280	111584
45824	111552
44960	111712
44544	111840
44800	111936
44992	112160
44608	112192
44832	112448
45152	111872
45472	112160
45312	112448
45632	111872
46528	111744
46304	111904
46784	112000
46592	112256
47072	112416
45152	112704
45440	112960
45696	113248
46496	112672
46496	113152
46080	113248
46304	113376
46080	113600
46880	112672
46784	113088
47072	113504
46752	113536
47296	112768
47488	113024
47168	113120
47392	113408
46560	113792
46304	113888
47008	113856
46752	114112
