XPOS	YPOS
44800	113120
44800	113152
44832	113152
44864	113152
44832	113184
44864	113184
44896	113184
44864	113216
44896	113216
44928	113216
44896	113248
44928	113248
44960	113248
44992	113248
44928	113280
44960	113280
44992	113280
44960	113312
44992	113312
45024	113312
44992	113344
45024	113344
45024	113376
45056	113344
45088	113376
45056	113408
45120	113408
45088	113440
45120	113440
45152	113440
45120	113472
45184	113472
45152	113504
45184	113504
45216	113504
45184	113536
45248	113536
45216	113568
45280	113568
45248	113600
45280	113600
45312	113600
45280	113632
45312	113632
45344	113632
45312	113664
45344	113664
45376	113664
45344	113696
45376	113696
45408	113696
45376	113728
45408	113728
45440	113728
45440	113760
45472	113792
