Level	Money	Exp	Honor	Popur	StepAdd	StaminaCost
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	0	0	0	0	0	0
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	2529	0	2	0	0	0
11	2653	0	2	0	0	0
12	2771	0	2	0	0	0
13	2884	0	2	0	0	0
14	2993	0	2	0	0	0
15	3098	0	2	0	0	0
16	3200	0	2	0	0	0
17	3298	0	2	0	0	0
18	3394	0	2	0	0	0
19	3487	0	2	0	0	0
20	3577	0	2	0	0	0
21	3666	0	2	0	0	0
22	3752	0	2	0	0	0
23	3836	0	2	0	0	0
24	3919	0	2	0	0	0
25	4000	0	2	0	0	0
26	4079	0	2	0	0	0
27	4156	0	2	0	0	0
28	4233	0	2	0	0	0
29	4308	0	2	0	0	0
30	4381	0	2	0	0	0
31	4454	0	2	0	0	0
32	4525	0	2	0	0	0
33	4595	0	2	0	0	0
34	4664	0	2	0	0	0
35	4732	0	2	0	0	0
36	4800	0	2	0	0	0
37	4866	0	2	0	0	0
38	4931	0	2	0	0	0
39	4995	0	2	0	0	0
40	5059	0	2	0	0	0
41	5122	0	2	0	0	0
42	5184	0	2	0	0	0
43	5245	0	2	0	0	0
44	5306	0	2	0	0	0
45	5366	0	2	0	0	0
46	5425	0	2	0	0	0
47	5484	0	2	0	0	0
48	5542	0	2	0	0	0
49	5600	0	2	0	0	0
50	5656	0	2	0	0	0
51	5713	0	2	0	0	0
52	5768	0	2	0	0	0
53	5824	0	2	0	0	0
54	5878	0	2	0	0	0
55	5932	0	2	0	0	0
56	5986	0	2	0	0	0
57	6039	0	2	0	0	0
58	6092	0	2	0	0	0
59	6144	0	2	0	0	0
60	6196	0	2	0	0	0
61	6248	0	2	0	0	0
62	6299	0	2	0	0	0
63	6349	0	2	0	0	0
64	6400	0	2	0	0	0
65	6449	0	2	0	0	0
66	6499	0	2	0	0	0
67	6548	0	2	0	0	0
68	6596	0	2	0	0	0
69	6645	0	2	0	0	0
70	6693	0	2	0	0	0
71	6740	0	2	0	0	0
72	6788	0	2	0	0	0
73	6835	0	2	0	0	0
74	6881	0	2	0	0	0
75	6928	0	2	0	0	0
76	6974	0	2	0	0	0
77	7019	0	2	0	0	0
78	7065	0	2	0	0	0
79	7110	0	2	0	0	0
80	7155	0	2	0	0	0
81	7200	0	2	0	0	0
82	7244	0	2	0	0	0
83	7288	0	2	0	0	0
84	7332	0	2	0	0	0
85	7375	0	2	0	0	0
86	7418	0	2	0	0	0
87	7461	0	2	0	0	0
88	7504	0	2	0	0	0
89	7547	0	2	0	0	0
90	7589	0	2	0	0	0
91	7631	0	2	0	0	0
92	7673	0	2	0	0	0
93	7714	0	2	0	0	0
94	7756	0	2	0	0	0
95	7797	0	2	0	0	0
96	7838	0	2	0	0	0
97	7879	0	2	0	0	0
98	7919	0	2	0	0	0
99	7959	0	2	0	0	0
