TaskID	NpcID	EventID	NpcKillNum	MapIndex	TaskValueBase	TaskValueExt	TaskContribute	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20	TaskInfoA	TaskInfoB	TaskInfoC	TaskInfoD
20011501	L­u Manh	131	60	201			6	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GÇn Thµnh §« xuÊt hiÖn bän <color=yellow>L­u manh<color> quÊy nhiÔu b¸ t¸nh, c­íp bãc th­¬ng nh©n. Lµ ®Ö tö Vâ §ang, cã muèn ®i trõ gian diÖt b¹o kh«ng?	GÇn Thµnh §« xuÊt hiÖn bän <color=yellow>L­u manh<color> quÊy nhiÔu b¸ t¸nh, c­íp bãc th­¬ng nh©n. Lµ ®Ö tö Vâ §ang, cã muèn ®i trõ gian diÖt b¹o kh«ng?	GÇn Thµnh §« xuÊt hiÖn bän <color=yellow>L­u manh<color> quÊy nhiÔu b¸ t¸nh, c­íp bãc th­¬ng nh©n. Lµ ®Ö tö Vâ §ang, cã muèn ®i trõ gian diÖt b¹o kh«ng?	L­u Manh
20011502	C«n ®å	132	60	201			6	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GÇn Thµnh §« cã ®¸m <color=yellow>C«n ®å<color> quÊy nhiÔu b¸ t¸nh, c­íp bãc th­¬ng nh©n. Lµ ®Ö tö Vâ §ang, cã muèn ®i trõ gian diÖt ¸c?	GÇn Thµnh §« cã ®¸m <color=yellow>C«n ®å<color> quÊy nhiÔu b¸ t¸nh, c­íp bãc th­¬ng nh©n. Lµ ®Ö tö Vâ §ang, cã muèn ®i trõ gian diÖt ¸c?	GÇn Thµnh §« cã ®¸m <color=yellow>C«n ®å<color> quÊy nhiÔu b¸ t¸nh, c­íp bãc th­¬ng nh©n. Lµ ®Ö tö Vâ §ang, cã muèn ®i trõ gian diÖt ¸c?	C«n ®å
20011503	Heo rõng	134	60	204			6	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	V­ên rau ë hËu s¬n l¹i bÞ <color=yellow>D· tr­<color> ph¸ ph¸ch, h·y mau ®uæi chóng ®i!	V­ên rau ë hËu s¬n l¹i bÞ <color=yellow>D· tr­<color> ph¸ ph¸ch, h·y mau ®uæi chóng ®i!	V­ên rau ë hËu s¬n l¹i bÞ <color=yellow>D· tr­<color> ph¸ ph¸ch, h·y mau ®uæi chóng ®i!	Heo rõng
20021501	Trém vÆt	135	60	209			6	0	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	§¸m <color=yellow>Trém vÆt<color> h«m qua ®Õn bæn m«n trém mËt tÞch ®ang Èn tr¸nh gÇn C¸i Bang, h·y mau ®Õn ®ã b¾t chóng vÒ ®©y.	§¸m <color=yellow>Trém vÆt<color> h«m qua ®Õn bæn m«n trém mËt tÞch ®ang Èn tr¸nh gÇn C¸i Bang, h·y mau ®Õn ®ã b¾t chóng vÒ ®©y.	§¸m <color=yellow>Trém vÆt<color> h«m qua ®Õn bæn m«n trém mËt tÞch ®ang Èn tr¸nh gÇn C¸i Bang, h·y mau ®Õn ®ã b¾t chóng vÒ ®©y.	Trém vÆt
20021502	KiÕm Kh¸ch	206	60	312			6	0	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hãa ra kÎ gi¶ d¹ng ®Ö tö Vâ §ang tÊn c«ng ThiÕu L©m nghªnh kh¸ch t¨ng nh©n lµ 1 g· <color=yellow>KiÕm kh¸ch<color>, muèn khiÕn hai m«n ph¸i thï hËn nhau! Mau xuèng Vâ §ang s¬n b¾t tªn kiÕm kh¸ch vÒ trÞ téi!	Hãa ra kÎ gi¶ d¹ng ®Ö tö Vâ §ang tÊn c«ng ThiÕu L©m nghªnh kh¸ch t¨ng nh©n lµ 1 g· <color=yellow>KiÕm kh¸ch<color>, muèn khiÕn hai m«n ph¸i thï hËn nhau! Mau xuèng Vâ §ang s¬n b¾t tªn kiÕm kh¸ch vÒ trÞ téi!	Hãa ra kÎ gi¶ d¹ng ®Ö tö Vâ §ang tÊn c«ng ThiÕu L©m nghªnh kh¸ch t¨ng nh©n lµ 1 g· <color=yellow>KiÕm kh¸ch<color>, muèn khiÕn hai m«n ph¸i thï hËn nhau! Mau xuèng Vâ §ang s¬n b¾t tªn kiÕm kh¸ch vÒ trÞ téi!	KiÕm Kh¸ch
20021503	M· HÇu	207	60	303			6	0	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>M· hÇu<color> ®· trë thµnh mèi häa ë Nga My s¬n, ®¶ th­¬ng nhiÒu kh¸ch hµnh h­¬ng lªn nói! H·y ®uæi chóng vµo rõng!	<color=yellow>M· hÇu<color> ®· trë thµnh mèi häa ë Nga My s¬n, ®¶ th­¬ng nhiÒu kh¸ch hµnh h­¬ng lªn nói! H·y ®uæi chóng vµo rõng!	<color=yellow>M· hÇu<color> ®· trë thµnh mèi häa ë Nga My s¬n, ®¶ th­¬ng nhiÒu kh¸ch hµnh h­¬ng lªn nói! H·y ®uæi chóng vµo rõng!	M· HÇu
20031501	§ao HiÖp	208	60	312			6	0	0	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Thiªn NhÊt ®ao ph¸p cña <color=yellow>§ao hiÖp<color> d­íi Vâ §ang s¬n cùc kú lîi h¹i, lµ ®ao ph¸p hiÕm cã trong Vâ l©m! H·y ®Õn thØnh gi¸o ®ao ph¸p cña hä!	Thiªn NhÊt ®ao ph¸p cña <color=yellow>§ao hiÖp<color> d­íi Vâ §ang s¬n cùc kú lîi h¹i, lµ ®ao ph¸p hiÕm cã trong Vâ l©m! H·y ®Õn thØnh gi¸o ®ao ph¸p cña hä!	Thiªn NhÊt ®ao ph¸p cña <color=yellow>§ao hiÖp<color> d­íi Vâ §ang s¬n cùc kú lîi h¹i, lµ ®ao ph¸p hiÕm cã trong Vâ l©m! H·y ®Õn thØnh gi¸o ®ao ph¸p cña hä!	§ao HiÖp
20031502	ThiÕu n÷ ¤ M«ng Bé	209	60	327			6	0	0	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sù thËt <color=yellow>¤ M«ng Bé thiÕu n÷<color> lµ ®Ö tö Xi Háa gi¸o, chuyªn dïng mª h­¬ng h¹i nhiÒu Vâ l©m nh©n sÜ trung nguyªn. H·y mau ®i b¾t chóng vÒ quy ¸n!	Sù thËt <color=yellow>¤ M«ng Bé thiÕu n÷<color> lµ ®Ö tö Xi Háa gi¸o, chuyªn dïng mª h­¬ng h¹i nhiÒu Vâ l©m nh©n sÜ trung nguyªn. H·y mau ®i b¾t chóng vÒ quy ¸n!	Sù thËt <color=yellow>¤ M«ng Bé thiÕu n÷<color> lµ ®Ö tö Xi Háa gi¸o, chuyªn dïng mª h­¬ng h¹i nhiÒu Vâ l©m nh©n sÜ trung nguyªn. H·y mau ®i b¾t chóng vÒ quy ¸n!	ThiÕu n÷ ¤ M«ng Bé
20031503	Hæ	138	60	204			6	0	0	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GÇn ®©y <color=yellow>Hæ<color> trong ThiÕu L©m s¬n ®¹o ngµy cµng nhiÒu lµm h¹i kh¸ch hµnh h­¬ng. H·y ®uæi chóng vµo rõng!	GÇn ®©y <color=yellow>Hæ<color> trong ThiÕu L©m s¬n ®¹o ngµy cµng nhiÒu lµm h¹i kh¸ch hµnh h­¬ng. H·y ®uæi chóng vµo rõng!	GÇn ®©y <color=yellow>Hæ<color> trong ThiÕu L©m s¬n ®¹o ngµy cµng nhiÒu lµm h¹i kh¸ch hµnh h­¬ng. H·y ®uæi chóng vµo rõng!	Hæ
20041501	TuyÕt Qu¸i	210	60	315			6	0	0	0	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>TuyÕt Qu¸i<color> lµ dÞ thó hiÕm thÊy, gÇn ®©y xuÊt hiÖn ë B¨ng T©m §éng, h¹i kh«ng Ýt nh©n sÜ vâ l©m cua Nga My, h·y ®uæi chóng ®i!	<color=yellow>TuyÕt Qu¸i<color> lµ dÞ thó hiÕm thÊy, gÇn ®©y xuÊt hiÖn ë B¨ng T©m §éng, h¹i kh«ng Ýt nh©n sÜ vâ l©m cua Nga My, h·y ®uæi chóng ®i!	<color=yellow>TuyÕt Qu¸i<color> lµ dÞ thó hiÕm thÊy, gÇn ®©y xuÊt hiÖn ë B¨ng T©m §éng, h¹i kh«ng Ýt nh©n sÜ vâ l©m cua Nga My, h·y ®uæi chóng ®i!	TuyÕt Qu¸i
