genre	detail	particular	situation
1	0	2	1,2
1	0	3	1,2
1	0	4	1,2
1	0	5	1,2
1	0	6	1,2
1	0	7	1,2
1	0	8	1,2
1	0	9	1,2
1	0	10	1,2
1	0	11	1,2
1	0	12	1,2
1	0	13	1,2
1	0	14	1,2
1	0	15	1,2
1	0	16	1,2
1	0	27	1,2
1	0	28	1,2
1	0	29	1,2
1	0	30	1,2
1	0	31	1,2
1	0	32	1,2
1	6	1,3000	1,2
1	0	261	1,2
1	0	262	1,2
1	0	263	1,2
1	0	264	1,2
1	0	265	1,2
1	0	266	1,2
1	0	267	1,2
1	0	268	1,2
1	0	269	1,2
1	0	270	1,2
1	0	271	1,2
1	0	272	1,2
1	0	273	1,2
1	0	274	1,2
1	0	275	1,2
1	6	10000	1,2
1	0	1,99999	2
1	0	125	1,2
1	0	126	1,2
1	0	127	1,2
1	0	128	1,2
1	0	129	1,2
1	0	130	1,2
1	0	131	1,2
1	0	132	1,2
1	0	133	1,2
1	0	134	1,2
1	0	135	1,2
1	0	136	1,2
1	0	137	1,2
1	0	138	1,2
1	7	46	1,2
1	7	154	1,2
1	7	148	1,2
1	7	147	1,2
1	7	10000	1,2
