ItemsID	Genre	Detail	Particular	Num	Name
物品索引	大类	中类	小类	数量	物品名称
1353	1	2	1	10	藏红花
1354	1	2	2	10	桔梗
1355	1	2	3	10	黄连
1356	1	2	4	10	麝香
1357	1	2	5	10	人参
1358	1	2	6	10	熊胆
1359	1	2	7	10	玉灵芝
1360	1	2	8	10	巴豆
1361	1	2	9	10	蝉蜕
1362	1	2	10	10	田七
1363	1	2	11	10	穿山甲
1364	1	2	12	10	雪莲子
1365	1	3	1	10	兔肉
1366	1	3	2	10	鸡肉
1367	1	3	3	10	鲈鱼
1368	1	3	4	10	熊掌
1369	1	3	5	10	红高粱
1370	1	3	6	10	金实稻
1371	1	3	7	10	酒曲
1372	1	3	8	10	调料
1373	1	3	9	10	光通麻
1374	1	3	10	10	倾篱豆
1375	1	3	11	10	绕明豆
1376	1	3	12	10	融泽谷
1377	1	3	13	10	甘蔗
1378	1	3	14	10	延精麦
1379	1	3	15	10	淳和麦
1380	1	3	16	10	游龙粟
1381	1	3	17	10	凤冠粟
1382	1	3	18	10	摇枝粟
1383	1	3	19	10	木耳
1384	1	3	20	10	石菌
1385	1	3	21	10	竹肉
1386	1	3	22	10	胡椒
1387	1	1	1	10	窝头
1388	1	1	2	10	饭团
1389	1	1	3	10	馒头
1390	1	1	4	10	花卷
1391	1	1	5	10	肉包
1392	1	1	6	10	素炒竹肉
1393	1	1	7	10	家常四季豆
1394	1	1	8	10	炒豌豆角
1395	1	1	9	10	蒜茸生菜
1396	1	1	10	10	烧刀子
1397	1	1	11	10	女儿红
1398	1	1	12	10	稻花香
1399	1	1	13	10	醉生梦死
1400	1	0	1	10	绷带
1401	1	0	2	10	金创散
1402	1	0	3	10	止血散
1403	1	0	4	10	白云散
1404	1	0	5	10	天香云锦续
1405	1	0	6	10	黑玉断续膏
1406	1	0	7	10	小还丹
1407	1	0	8	10	还阳丹
1408	1	0	9	10	大还丹
1409	1	0	10	10	一元复始丹
1410	1	0	11	10	万物归元丹
1411	1	0	12	10	清心散
1412	1	0	13	10	益气散
1413	1	0	14	10	玉灵散
1414	1	0	15	10	五花玉露丸
1415	1	0	16	10	生生造化散
1416	1	0	17	10	白日丹
1417	1	0	18	10	全生丹
1418	1	0	19	10	召魂丹
1419	1	0	20	10	渔神役使丹
1420	1	0	21	10	奔星却月丹
1421	1	0	22	10	益阳散
1422	1	0	23	10	千金散
1423	1	0	24	10	补天散
1424	1	0	25	10	七虫七花散
1425	1	0	26	10	大日炎阳散
1426	1	0	27	10	解毒丹
1427	1	0	28	10	止水丹
1428	1	0	29	10	排云丹
1429	1	0	30	10	乾元正气丹
1430	1	0	31	10	天王补心丹
1431	1	0	32	10	九转回魂丹
1432	1	5	1	10	汴京土地符
1433	1	5	2	10	成都土地符
1434	1	5	3	10	泉州土地符
1435	1	5	4	10	襄阳土地符
1436	1	5	7	10	扬州土地符
1437	1	5	5	10	凤翔土地符
1438	1	1	14	10	蛋炒饭
1439	1	1	15	10	黄金糕
1440	1	1	16	10	玉笛谁家听落梅
1441	1	1	17	10	二十四桥明月夜
1442	1	1	18	10	木兰春
1443	1	1	19	10	西北望
1444	1	5	26	10	大宋英雄令（初级）
1445	1	5	27	2	大宋英雄令（高级）
1446	1	5	28	10	大辽英雄令（初级）
1447	1	5	29	2	大辽英雄令（高级）
1448	2	5	1	2	一级鉴定符
1449	2	5	2	2	二级鉴定符
1450	2	5	3	2	三级鉴定符
1451	2	5	4	2	四级鉴定符
1452	2	5	5	2	五级鉴定符
1453	2	5	6	2	六级鉴定符
1454	2	5	7	2	七级鉴定符
1455	2	3	1	5	龙凤结
1456	2	3	2	5	龙皇令
1457	2	3	3	5	乾坤结
1458	2	3	4	5	天佛珠
1459	2	11	0	5	暗器
1460	2	3	6	5	机关
1461	2	3	7	5	舍利金丹
1462	2	3	8	5	钜子令
1463	2	3	9	5	迷魂线
