SortID	UnitIndex	MapID	MapX	MapY	NpcID	NpcName	RandomTable	SpawnPeriod	Amount	Limit	SpawnerCount
101	1	1	1542	3474	看门狗	看门狗	0	2	1	1	20
102	1	1	1525	3425	看门狗	看门狗	0	2	1	1	20
103	1	1	1546	3421	看门狗	看门狗	0	2	1	1	20
104	1	1	1518	3401	看门狗	看门狗	0	2	1	1	20
105	1	1	1542	3378	看门狗	看门狗	0	2	1	1	20
106	1	1	1525	3385	护院家丁	护院家丁	0	2	1	1	20
107	1	1	1504	3346	护院家丁	护院家丁	0	2	1	1	20
108	1	1	1533	3346	护院家丁	护院家丁	0	2	1	1	20
109	1	1	1529	3312	护院家丁	护院家丁	0	2	1	1	20
110	1	1	1550	3323	护院家丁	护院家丁	0	2	1	1	20
111	1	1	1553	3248	护院家丁	护院家丁	0	2	1	1	20
112	1	1	1593	3272	护院家丁	护院家丁	0	2	1	1	20
113	1	1	1595	3217	护院家丁	护院家丁	0	2	1	1	20
114	1	1	1562	3205	护院家丁	护院家丁	0	2	1	1	20
115	1	1	1614	3250	护院家丁	护院家丁	0	2	1	1	20
201	1	2	1600	3155	护院家丁	护院家丁	0	2	1	1	20
202	1	2	1602	3177	护院家丁	护院家丁	0	2	1	1	20
203	1	2	1618	3195	护院家丁	护院家丁	0	2	1	1	20
204	1	2	1635	3189	护院家丁	护院家丁	0	2	1	1	20
205	1	2	1652	3177	护院家丁	护院家丁	0	2	1	1	20
206	1	2	1663	3164	护院家丁	护院家丁	0	2	1	1	20
207	1	2	1651	3137	护院家丁	护院家丁	0	2	1	1	20
208	1	2	1627	3125	护院家丁	护院家丁	0	2	1	1	20
209	1	2	1613	3134	护院家丁	护院家丁	0	2	1	1	20
210	1	2	1644	3119	护院家丁	护院家丁	0	2	1	1	20
211	1	2	1664	3140	护院家丁	护院家丁	0	2	1	1	20
212	1	2	1681	3146	护院家丁	护院家丁	0	2	1	1	20
213	1	2	1679	3164	护院家丁	护院家丁	0	2	1	1	20
214	1	2	1693	3158	护院家丁	护院家丁	0	2	1	1	20
215	1	2	1670	3174	护院家丁	护院家丁	0	2	1	1	20
216	1	2	1656	3192	护院家丁	护院家丁	0	2	1	1	20
217	1	2	1647	3212	护院家丁	护院家丁	0	2	1	1	20
218	1	2	1630	3205	护院家丁	护院家丁	0	2	1	1	20
219	1	2	1638	3220	护院家丁	护院家丁	0	2	1	1	20
220	1	2	1594	3166	护院家丁	护院家丁	0	2	1	1	20
221	1	2	1584	3166	护院家丁	护院家丁	0	2	1	1	20
222	1	2	1582	3151	护院家丁	护院家丁	0	2	1	1	20
223	1	2	1573	3159	护院家丁	护院家丁	0	2	1	1	20
224	1	2	1618	3114	护院家丁	护院家丁	0	2	1	1	20
225	1	2	1631	3107	护院家丁	护院家丁	0	2	1	1	20
226	1	2	1624	3093	护院家丁	护院家丁	0	2	1	1	20
227	1	2	1639	3092	护院家丁	护院家丁	0	2	1	1	20
228	1	2	1624	3138	山庄教头	山庄教头	0	4	1	1	20
229	1	2	1612	3153	山庄教头	山庄教头	0	4	1	1	20
230	1	2	1627	3189	山庄教头	山庄教头	0	4	1	1	20
231	1	2	1639	3137	山庄教头	山庄教头	0	4	1	1	20
232	1	2	1656	3151	山庄教头	山庄教头	0	4	1	1	20
233	1	2	1637	3209	山庄教头	山庄教头	0	4	1	1	20
234	1	2	1609	3187	山庄教头	山庄教头	0	4	1	1	20
235	1	2	1587	3157	山庄教头	山庄教头	0	4	1	1	20
236	1	2	1606	3124	山庄教头	山庄教头	0	4	1	1	20
237	1	2	1632	3095	山庄教头	山庄教头	0	4	1	1	20
238	1	2	1573	3153	山庄教头	山庄教头	0	4	1	1	20
239	1	2	1594	3128	山庄教头	山庄教头	0	4	1	1	20
240	1	2	1613	3109	山庄教头	山庄教头	0	4	1	1	20
241	1	2	1632	3086	山庄教头	山庄教头	0	4	1	1	20
242	1	2	1626	3126	山庄教头	山庄教头	0	4	1	1	20
243	1	2	1663	3165	山庄教头	山庄教头	0	4	1	1	20
244	1	2	1598	3153	山庄教头	山庄教头	0	4	1	1	20
245	1	2	1636	3189	山庄教头	山庄教头	0	4	1	1	20
246	1	2	1637	3226	山庄教头	山庄教头	0	4	1	1	20
247	1	2	1701	3161	山庄教头	山庄教头	0	4	1	1	20
248	1	2	1657	3119	山庄教头	山庄教头	0	4	1	1	20
249	1	2	1611	3183	山庄教头	山庄教头	0	4	1	1	20
301	1	3	1578	3142	看门狗	看门狗	0	4	1	1	20
302	1	3	1580	3152	看门狗	看门狗	0	4	1	1	20
303	1	3	1583	3145	看门狗	看门狗	0	4	1	1	20
304	1	3	1594	3129	看门狗	看门狗	0	4	1	1	20
305	1	3	1599	3118	看门狗	看门狗	0	4	1	1	20
306	1	3	1599	3127	看门狗	看门狗	0	4	1	1	20
307	1	3	1622	3092	看门狗	看门狗	0	4	1	1	20
308	1	3	1619	3099	看门狗	看门狗	0	4	1	1	20
309	1	3	1615	3104	看门狗	看门狗	0	4	1	1	20
310	1	3	1625	3102	看门狗	看门狗	0	4	1	1	20
311	1	3	1622	3107	看门狗	看门狗	0	4	1	1	20
312	1	3	1643	3083	看门狗	看门狗	0	4	1	1	20
313	1	3	1651	3082	看门狗	看门狗	0	4	1	1	20
314	1	3	1647	3073	看门狗	看门狗	0	4	1	1	20
315	1	3	1649	3090	看门狗	看门狗	0	4	1	1	20
316	1	3	1670	3095	看门狗	看门狗	0	4	1	1	20
317	1	3	1675	3101	看门狗	看门狗	0	4	1	1	20
318	1	3	1668	3102	看门狗	看门狗	0	4	1	1	20
319	1	3	1674	3106	看门狗	看门狗	0	4	1	1	20
320	1	3	1691	3119	看门狗	看门狗	0	4	1	1	20
321	1	3	1689	3131	看门狗	看门狗	0	4	1	1	20
322	1	3	1696	3125	看门狗	看门狗	0	4	1	1	20
323	1	3	1667	3130	看门狗	看门狗	0	4	1	1	20
324	1	3	1667	3148	看门狗	看门狗	0	4	1	1	20
325	1	3	1673	3137	看门狗	看门狗	0	4	1	1	20
326	1	3	1651	3156	看门狗	看门狗	0	4	1	1	20
327	1	3	1652	3164	看门狗	看门狗	0	4	1	1	20
328	1	3	1646	3164	看门狗	看门狗	0	4	1	1	20
329	1	3	1637	3180	看门狗	看门狗	0	4	1	1	20
330	1	3	1632	3185	看门狗	看门狗	0	4	1	1	20
331	1	3	1622	3193	看门狗	看门狗	0	4	1	1	20
332	1	3	1629	3195	看门狗	看门狗	0	4	1	1	20
333	1	3	1624	3204	看门狗	看门狗	0	4	1	1	20
334	1	3	1620	3139	看门狗	看门狗	0	4	1	1	20
335	1	3	1619	3157	看门狗	看门狗	0	4	1	1	20
336	1	3	1638	3139	看门狗	看门狗	0	4	1	1	20
337	1	3	1638	3159	看门狗	看门狗	0	4	1	1	20
338	1	3	1629	3148	看门狗	看门狗	0	4	1	1	20
339	1	3	1587	3134	老女仆	老女仆	0	4	1	1	20
340	1	3	1609	3111	老女仆	老女仆	0	4	1	1	20
341	1	3	1631	3088	老女仆	老女仆	0	4	1	1	20
342	1	3	1660	3092	老女仆	老女仆	0	4	1	1	20
343	1	3	1684	3113	老女仆	老女仆	0	4	1	1	20
344	1	3	1681	3132	老女仆	老女仆	0	4	1	1	20
345	1	3	1664	3153	老女仆	老女仆	0	4	1	1	20
